Rank_New,HDI_Cat,Country,HDI,Exp_Life,Exp_School,Mean_School,GNI,GNI_HDI,Rank_Old,Latitude,Longitude
145,M,Equatorial Guinea,0.596,60.5943,9.73494,5.910863,12073.95993,-47,147,1.613172,10.5170357
146,M,Cambodia,0.593,69.5835,11.46772,5.088,4078.697154,3,148,3.9767059,-73.1493675
146,M,Zimbabwe,0.593,59.2531,12.11096904,8.710908501,3809.887158,9,145,-18.4554963,29.7468414
148,M,Angola,0.586,61.6434,12.1721,5.417390823,5465.617791,-14,149,-11.8775768,17.5691241
149,M,Myanmar,0.585,65.6716,10.90913752,6.37680006,3850.524234,5,145,22.0452303,96.4514694
150,M,Syrian Arab Republic,0.577,72.0627,9.164219856,5.1,4191.933893,-2,152,34.6401861,39.0494106
151,M,Cameroon,0.576,60.3334,13.10859922,6.15131,3620.932408,6,150,4.6125522,13.1535811
152,M,Kenya,0.575,61.427,10.69855835,6.652,4473.570344,-6,150,1.4419683,38.4313975
153,M,Congo,0.571,63.5187,12.33081527,6.166,2889.283521,11,153,-2.9814344,23.8222636
154,M,Zambia,0.565,61.2234,10.92876021,7.187091494,3217.767739,7,154,-14.5189121,27.5589884
155,M,Solomon Islands,0.564,70.3477,10.32869027,5.711848,2481.511362,13,155,-8.7053941,159.1070693851845
156,M,Comoros,0.558,63.4174,11.92432393,5.078649,3142.064119,6,156,-12.2045176,44.2832964
156,M,Papua New Guinea,0.558,65.3506,10.36077074,4.74,4008.623573,-4,157,-5.6816069,144.2489081
158,M,Mauritania,0.556,64.3636,9.376159668,4.918804891,5075.305711,-20,158,20.2540382,-9.2399263
159,M,Côte d'Ivoire,0.55,58.5983,10.67558002,5.199138977,5217.448516,-22,159,7.9897371,-5.5679458
160,L,Tanzania (United Republic of),0.549,66.2007,9.221489906,6.37289871,2664.329096,7,160,38.9128027,-77.048333
161,L,Pakistan,0.544,66.0979,8.658349991,4.536330223,4623.70543,-19,161,30.3308401,71.247499
162,L,Togo,0.539,61.6194,12.95049378,5.016807367,2166.619062,12,163,8.7800265,1.0199765
163,L,Haiti,0.535,63.1924,9.7,5.554,2847.500746,2,162,19.1399952,-72.3570972
163,L,Nigeria,0.535,52.676,10.12758388,7.181074153,4790.284425,-22,163,9.6000359,7.9999721
165,L,Rwanda,0.534,66.0722,11.23097038,4.425292358,2209.795202,6,165,-1.9646631,30.0644358
166,L,Benin,0.525,59.821,10.76667976,4.304786445,3408.965923,-7,166,9.5293472,2.2584408
166,L,Uganda,0.525,62.7048,10.14986994,5.730941566,2181.43651,6,166,1.5333554,32.2166578
168,L,Lesotho,0.514,53.062,12.04087801,6.010184707,2700.435748,-2,168,-29.6039267,28.3350193
169,L,Malawi,0.512,62.9044,12.67898523,4.489695385,1465.635064,13,169,-13.2687204,33.9301963
170,L,Senegal,0.511,67.0926,8.963749886,2.937938258,3344.311825,-10,170,14.4750607,-14.4529612
171,L,Djibouti,0.509,62.3049,7.43298,4.1,5024.993944,-32,171,11.8145966,42.8453061
172,L,Sudan,0.508,65.2667,7.945187858,3.82,3575.19084,-14,171,10.9,6.5
173,L,Madagascar,0.501,64.4853,10.13499142,5.120468534,1483.520983,8,173,-18.9249604,46.4416422
174,L,Gambia,0.5,62.083,9.418626299,4.637487411,2172.207664,-1,173,13.470062,-15.4900464
175,L,Ethiopia,0.498,64.9748,9.651071421,3.201520681,2361.069604,-5,175,10.2116702,38.6521203
176,L,Eritrea,0.492,66.5358,8.064524628,4.8872352,1728.742667,3,176,15.9500319,37.9999668
177,L,Guinea-Bissau,0.483,59.6523,10.61306278,3.583719,1908.24159,0,177,11.815215,-15.2351044
